时间,位移,载荷,压缩应变 (位移),压缩应力,循环计数
(s),(mm),(N),(%),(MPa),
0,0,-0.00562,0,-0.00006,0
0.1,0.00555,0.02807,0.05419,0.00028,0
0.2,0.01617,0.16648,0.15795,0.00164,0
0.3,0.02503,0.2575,0.24441,0.00253,0
0.4,0.03329,0.37512,0.32511,0.00369,0
0.5,0.04167,0.4873,0.40697,0.0048,0
0.6,0.05029,0.6203,0.49113,0.00611,0
0.7,0.05844,0.68289,0.57068,0.00672,0
0.8,0.06694,0.82285,0.65369,0.0081,0
0.9,0.07532,0.93786,0.73554,0.00923,0
1,0.08335,1.04675,0.81394,0.0103,0
1.1,0.09185,1.15404,0.89695,0.01136,0
1.2,0.10023,1.29666,0.9788,0.01276,0
1.3,0.10849,1.39499,1.0595,0.01373,0
1.4,0.11699,1.53632,1.14251,0.01512,0
1.5,0.12502,1.6837,1.22091,0.01657,0
1.6,0.13352,1.80333,1.30391,0.01775,0
1.7,0.14178,1.93358,1.38462,0.01903,0
1.8,0.14993,2.06651,1.46417,0.02034,0
1.9,0.15843,2.245,1.54717,0.0221,0
2,0.16669,2.40324,1.62788,0.02366,0
2.1,0.17508,2.53237,1.70973,0.02493,0
2.2,0.18369,2.69697,1.79389,0.02655,0
2.3,0.19196,2.87502,1.87459,0.0283,0
2.4,0.20034,3.04229,1.95645,0.02995,0
2.5,0.2086,3.20562,2.03715,0.03156,0
2.6,0.21663,3.35164,2.11555,0.03299,0
2.7,0.22513,3.54774,2.19855,0.03493,0
2.8,0.23351,3.72045,2.28041,0.03663,0
2.9,0.24166,3.90608,2.35996,0.03845,0
3,0.25016,4.07123,2.44297,0.04008,0
3.1,0.25831,4.2508,2.52252,0.04185,0
3.2,0.26669,4.45555,2.60437,0.04386,0
3.3,0.27507,4.63587,2.68623,0.04564,0
3.4,0.28333,4.8207,2.76693,0.04746,0
3.5,0.29183,5.01942,2.84993,0.04941,0
3.6,0.30022,5.23209,2.93179,0.05151,0
3.7,0.30848,5.40009,3.01249,0.05316,0
3.8,0.3171,5.58874,3.09665,0.05502,0
3.9,0.32524,5.79582,3.1762,0.05706,0
4,0.33351,5.96008,3.2569,0.05867,0
4.1,0.34201,6.16561,3.33991,0.0607,0
4.2,0.34992,6.34725,3.41716,0.06248,0
4.3,0.35842,6.5287,3.50016,0.06427,0
4.4,0.36668,6.71277,3.58086,0.06608,0
4.5,0.37494,6.89936,3.66157,0.06792,0
4.6,0.38356,7.08574,3.74573,0.06975,0
4.7,0.39171,7.27718,3.82528,0.07164,0
4.8,0.39997,7.46483,3.90598,0.07349,0
4.9,0.40871,7.65634,3.99129,0.07537,0
